Print Out of Your Network Status on: 2019-02-16 01:49:10

Active Connections
Proto  Local Address          Foreign Address        State
TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED
TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED
TCP    127.0.0.1:52762        127.0.0.1:52763        ESTABLISHED
TCP    127.0.0.1:52763        127.0.0.1:52762        ESTABLISHED
TCP    127.0.0.1:52764        127.0.0.1:52765        ESTABLISHED
TCP    127.0.0.1:52765        127.0.0.1:52764        ESTABLISHED
TCP    192.168.0.105:52505    40.67.248.104:443      ESTABLISHED
TCP    192.168.0.105:52766    209.85.202.188:5228    ESTABLISHED
TCP    192.168.0.105:52814    13.69.75.239:443       CLOSE_WAIT
TCP    192.168.0.105:52815    13.69.75.239:443       CLOSE_WAIT
TCP    192.168.0.105:52816    13.69.75.239:443       CLOSE_WAIT
TCP    192.168.0.105:52817    13.69.75.239:443       CLOSE_WAIT
TCP    192.168.0.105:53180    152.199.19.161:443     CLOSE_WAIT
TCP    192.168.0.105:53277    13.107.42.15:443       TIME_WAIT
TCP    192.168.0.105:53278    209.85.202.94:443      TIME_WAIT
